id,tier,name,description,allowMultiplePurchases,requiredTalentId
610a8838-b9ea-4cfa-8be0-bbcfe705e386,0,Acrobaties,"Lorsque le personnage est renversé, se relever ne lui coûte maintenant que le quart de ses points de mouvement plutôt que la moitié.",FALSE,
22bb0ed8-3941-4576-9897-b519b7746f5c,0,Armes improvisées,"Permet au personnage d’effectuer une attaque en utilisant un objet qui n’est pas une arme, comme s’il maniait une arme pour laquelle il est formé. Il effectue un test de Mêlée lorsqu’il utilise l’objet en mêlée, ou un test d’Orientation lorsqu’il lance l’objet.\n\nLe bonus conféré au test de l’attaque varie en fonction du maniement de l’objet :\n\n- Manié à une main : +1\n- Objet lancé : +2\n- Manié à deux mains : +3\n\nL’objet inflige 1d4 points de dégâts. S’il met en danger la vie de la cible, il inflige des points de dégâts létaux, sinon, il inflige des points de dégâts non létaux. Le type de dégâts varie en fonction de la nature de l’objet, par exemple :\n\n- Contondant : barreau de prison en métal, chope, coup de luth, louche à soupe, mobilier.\n- Perçant : aiguille, arrache-clou d’un marteau, clou, fourchette, pointe d’un porte-bannière.\n- Tranchant : brides d’une monture, couteau de cuisine, fragment de verre, hache de bûcheron.",FALSE,
9196aa8f-7447-43e9-b226-0ac32d9e451f,0,Artisanat,"Le personnage est formé à l’utilisation d’un nombre d’outils d’artisan égal à son rang d’Artisanat. Chaque fois que son rang d’Artisanat augmente d’un point, il est formé à l’utilisation d’un type d’outils d’artisan supplémentaire de son choix.\n\nÉgalement, en situation de combat, il peut réparer temporairement une pièce d’équipement telle une arme, un bouclier ou une armure. Par une action, il effectue un test d’Artisanat auquel il peut Faire 10 s’il le désire. Il n’a pas besoin de posséder les matériaux, les outils et l’atelier nécessaires à la réparation. À la fin du combat, la réparation brise, et l’objet doit être réparé normalement avant de pouvoir être réparé à nouveau par cette capacité.",FALSE,
6ce76341-f6b5-4ebe-af01-89d242c64b4e,0,Arts martiaux,"Permet au personnage d’effectuer une attaque en utilisant un membre de son corps, comme un poing, un pied ou sa tête, comme s’il maniait une arme pour laquelle il est formé. Il effectue un test de _Mêlée_. En cas de réussite, il inflige un nombre de points de dégâts contondants non létaux égal à 1d4 additionné à sa Force.",FALSE,
b28d0923-f367-4e2c-851b-ca8b7ab64d26,0,Athlétisme,"Lorsque le personnage tente d’effectuer un saut, la distance minimale de l’élan est réduite de moitié, soit de 3 mètres à 1,5 mètres.",FALSE,
aa768490-5a99-418e-aba4-3421d0f7bec6,0,Compétence,Confère au personnage un bonus permanent de 4 points d’Apprentissage. Il obtient donc 4 points de compétence à dépenser afin d’augmenter le rang de ses compétences.,TRUE,
6a4e7150-fa82-4d0c-a308-70e68927a171,0,Connaissance,"Le personnage acquiert des connaissances sur un nombre de domaines égal à son rang de _Connaissance_. Chaque fois que son rang de _Connaissance_ augmente d’un point, il acquiert des connaissances sur un domaine supplémentaire de son choix. Le joueur et le maître de jeu collaborent afin de définir les sujets pouvant constituer un domaine de connaissances.",FALSE,
8d21a03d-0021-4d21-afc3-6cdc006eeea0,0,Coup critique,"Lorsque le personnage effectue une attaque, il obtient un coup critique si la somme des dés égale 18 ou 19. Également, si son score de Coordination est supérieur ou égal à 20, il obtient également un coup critique si la valeur des deux dés est 2, 3, 4 ou 5, ce qui réduit de 5 % à 1 % la probabilité qu’il obtienne un échec critique. Les probabilités qu’il inflige un coup critique sont désormais de 9 %, ou de 13 % si son score de Coordination est supérieur ou égal à 20.",FALSE,
d5536e41-a6fd-43cb-8e73-aa87355ca72d,0,Diplomatie,"Lorsque le personnage utilise l’activité **Aider**, sa portée augmente de 1,5 mètres à 4,5 mètres.",FALSE,
1f819e59-3ea2-426b-b668-5f45d821945d,0,Discipline,Confère au personnage un bonus permanent de 5 points d’Énergie.,FALSE,
21bf38b6-66be-4a76-a5b7-d14737b9a5ec,0,Dressage,"Permet au personnage d’apprivoiser et de dresser une bête de niveau 1/8 ou moins par une série de tests de _Survie_, à la discrétion du maître de jeu. Il peut lui apprendre des tours simples tels sauter, attaquer, récupérer un objet, etc. Une bête peut apprendre un nombre maximum de tours égal à son score d’Intellect. Par une action, le personnage peut ordonner à la bête d’effectuer un des tours pour lequel elle a été entraînée. La bête exécutera l’ordre si cela ne met pas directement sa vie en danger.",FALSE,c0c7935a-bdba-4a87-8033-9efecb7d7c94
c92391a9-d087-4371-a411-bf7a44bc0486,0,Entraînement I,Augmente de manière permanente de +2 le score d’un attribut du personnage dont le score était inférieur ou égal à 11 avant l’acquisition de ce talent.,TRUE,
7a2ca8e7-aa75-46a8-8c50-a176555caebf,0,Expertise,"Ce talent peut être acquis pour chaque compétence. À l’acquisition de ce talent, le personnage sélectionne une compétence. Il se voit conférer un bonus permanent aux tests de cette compétence égal à 2 additionné à son tiers de personnage.",TRUE,
